enc_class	enc_method	exp	kind	class	method	param	index	uri
tui.Driver#$@$#main(java.lang.String[])#$@$#ImageIO.read#$@$#METHOD	javax.imageio.ImageIO	read(java.io.File)	null	null	null
darwInvest.processable.GetPrice#$@$#clone()#$@$#which#$@$#FIELD	darwInvest.processable.GetPrice	null	which	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/processable/GetPrice.java
darwInvest.processable.GetPrice#$@$#equalsValue(darwin.problemObject.Processable)#$@$#other#$@$#PARAMETER	darwInvest.processable.GetPrice	equalsValue(darwin.problemObject.Processable)	other	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/processable/GetPrice.java
darwInvest.processable.GetPrice#$@$#equalsValue(darwin.problemObject.Processable)#$@$#con.getWhich#$@$#METHOD	darwInvest.processable.GetPrice	getWhich()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/processable/GetPrice.java
darwInvest.processable.GetPrice#$@$#equalsValue(darwin.problemObject.Processable)#$@$#which#$@$#FIELD	darwInvest.processable.GetPrice	null	which	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/processable/GetPrice.java
darwInvest.processable.GetPrice#$@$#getWhich()#$@$#which#$@$#FIELD	darwInvest.processable.GetPrice	null	which	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/processable/GetPrice.java
darwInvest.processable.GetPrice#$@$#toString()#$@$#which#$@$#FIELD	darwInvest.processable.GetPrice	null	which	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/processable/GetPrice.java
darwInvest.processable.LoopBoolean#$@$#LoopBoolean(int)#$@$#this.which#$@$#FIELD	darwInvest.processable.LoopBoolean	null	which	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/processable/LoopBoolean.java
darwInvest.processable.LoopBoolean#$@$#LoopBoolean(int)#$@$#this#$@$#FIELD	darwInvest.processable.LoopBoolean	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/processable/LoopBoolean.java
darwInvest.processable.LoopBoolean#$@$#LoopBoolean(int)#$@$#which#$@$#PARAMETER	darwInvest.processable.LoopBoolean	LoopBoolean(int)	which	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/processable/LoopBoolean.java
darwInvest.processable.LoopBoolean#$@$#getValue(java.lang.Object,darwin.population.Node[])#$@$#parameters#$@$#PARAMETER	darwInvest.processable.LoopBoolean	getValue(java.lang.Object,darwin.population.Node[])	parameters	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/processable/LoopBoolean.java
darwInvest.processable.LoopBoolean#$@$#getValue(java.lang.Object,darwin.population.Node[])#$@$#childNodes#$@$#PARAMETER	darwInvest.processable.LoopBoolean	getValue(java.lang.Object,darwin.population.Node[])	childNodes	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/processable/LoopBoolean.java
darwInvest.processable.LoopBoolean#$@$#getValue(java.lang.Object,darwin.population.Node[])#$@$#childNodes[1].getValue#$@$#METHOD	darwin.population.Node	getValue(java.lang.Object)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Node.java
darwInvest.processable.LoopBoolean#$@$#getValue(java.lang.Object,darwin.population.Node[])#$@$#childNodes#$@$#PARAMETER	darwInvest.processable.LoopBoolean	getValue(java.lang.Object,darwin.population.Node[])	childNodes	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/processable/LoopBoolean.java
darwInvest.processable.LoopBoolean#$@$#getValue(java.lang.Object,darwin.population.Node[])#$@$#parameters#$@$#PARAMETER	darwInvest.processable.LoopBoolean	getValue(java.lang.Object,darwin.population.Node[])	parameters	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/processable/LoopBoolean.java
darwInvest.processable.LoopBoolean#$@$#getValue(java.lang.Object,darwin.population.Node[])#$@$#childNodes[2].getValue#$@$#METHOD	darwin.population.Node	getValue(java.lang.Object)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Node.java
darwInvest.processable.LoopBoolean#$@$#getValue(java.lang.Object,darwin.population.Node[])#$@$#childNodes#$@$#PARAMETER	darwInvest.processable.LoopBoolean	getValue(java.lang.Object,darwin.population.Node[])	childNodes	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/processable/LoopBoolean.java
darwInvest.processable.LoopBoolean#$@$#getValue(java.lang.Object,darwin.population.Node[])#$@$#parameters#$@$#PARAMETER	darwInvest.processable.LoopBoolean	getValue(java.lang.Object,darwin.population.Node[])	parameters	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/processable/LoopBoolean.java
darwInvest.processable.LoopBoolean#$@$#getValue(java.lang.Object,darwin.population.Node[])#$@$#now.restrict#$@$#METHOD	darwInvest.environment.StrategyParameters	restrict(double)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/environment/StrategyParameters.java
darwInvest.processable.LoopBoolean#$@$#getValue(java.lang.Object,darwin.population.Node[])#$@$#childNodes[3].getValue#$@$#METHOD	darwin.population.Node	getValue(java.lang.Object)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Node.java
darwInvest.processable.LoopBoolean#$@$#getValue(java.lang.Object,darwin.population.Node[])#$@$#childNodes#$@$#PARAMETER	darwInvest.processable.LoopBoolean	getValue(java.lang.Object,darwin.population.Node[])	childNodes	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/processable/LoopBoolean.java
darwInvest.processable.LoopBoolean#$@$#getValue(java.lang.Object,darwin.population.Node[])#$@$#parameters#$@$#PARAMETER	darwInvest.processable.LoopBoolean	getValue(java.lang.Object,darwin.population.Node[])	parameters	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/processable/LoopBoolean.java
darwInvest.processable.LoopBoolean#$@$#getValue(java.lang.Object,darwin.population.Node[])#$@$#Math.max#$@$#METHOD	java.lang.Math	max(double,double)	null	null	null
darwInvest.processable.LoopBoolean#$@$#getValue(java.lang.Object,darwin.population.Node[])#$@$#now.getTime#$@$#METHOD	darwInvest.environment.StrategyParameters	getTime(double)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/environment/StrategyParameters.java
darwInvest.processable.LoopBoolean#$@$#getValue(java.lang.Object,darwin.population.Node[])#$@$#now.getTime#$@$#METHOD	darwInvest.environment.StrategyParameters	getTime(double)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/environment/StrategyParameters.java
darwInvest.processable.LoopBoolean#$@$#getValue(java.lang.Object,darwin.population.Node[])#$@$#now.clone#$@$#METHOD	darwInvest.environment.StrategyParameters	clone()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/environment/StrategyParameters.java
darwInvest.processable.LoopBoolean#$@$#getValue(java.lang.Object,darwin.population.Node[])#$@$#loop.time#$@$#FIELD	darwInvest.environment.StrategyParameters	null	time	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/environment/StrategyParameters.java
darwInvest.processable.LoopBoolean#$@$#getValue(java.lang.Object,darwin.population.Node[])#$@$#iter.getValue#$@$#METHOD	darwin.population.Node	getValue(java.lang.Object)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Node.java
darwInvest.processable.LoopBoolean#$@$#getValue(java.lang.Object,darwin.population.Node[])#$@$#which#$@$#FIELD	darwInvest.processable.LoopBoolean	null	which	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/processable/LoopBoolean.java
darwInvest.processable.LoopBoolean#$@$#getValue(java.lang.Object,darwin.population.Node[])#$@$#COUNT_TRUE#$@$#FIELD	darwInvest.processable.LoopBoolean	null	COUNT_TRUE	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/processable/LoopBoolean.java
darwInvest.processable.LoopBoolean#$@$#getValue(java.lang.Object,darwin.population.Node[])#$@$#which#$@$#FIELD	darwInvest.processable.LoopBoolean	null	which	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/processable/LoopBoolean.java
darwInvest.processable.LoopBoolean#$@$#getValue(java.lang.Object,darwin.population.Node[])#$@$#COUNT_FALSE#$@$#FIELD	darwInvest.processable.LoopBoolean	null	COUNT_FALSE	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/processable/LoopBoolean.java
darwInvest.processable.LoopBoolean#$@$#clone()#$@$#which#$@$#FIELD	darwInvest.processable.LoopBoolean	null	which	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/processable/LoopBoolean.java
darwInvest.processable.LoopBoolean#$@$#equalsValue(darwin.problemObject.Processable)#$@$#other#$@$#PARAMETER	darwInvest.processable.LoopBoolean	equalsValue(darwin.problemObject.Processable)	other	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/processable/LoopBoolean.java
darwInvest.processable.LoopBoolean#$@$#equalsValue(darwin.problemObject.Processable)#$@$#con.getWhich#$@$#METHOD	darwInvest.processable.LoopBoolean	getWhich()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/processable/LoopBoolean.java
darwInvest.processable.LoopBoolean#$@$#equalsValue(darwin.problemObject.Processable)#$@$#which#$@$#FIELD	darwInvest.processable.LoopBoolean	null	which	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/processable/LoopBoolean.java
darwInvest.processable.LoopBoolean#$@$#getWhich()#$@$#which#$@$#FIELD	darwInvest.processable.LoopBoolean	null	which	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/processable/LoopBoolean.java
darwInvest.processable.LoopBoolean#$@$#toString()#$@$#which#$@$#FIELD	darwInvest.processable.LoopBoolean	null	which	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/processable/LoopBoolean.java
darwInvest.processable.GetPeriod#$@$#GetPeriod(int)#$@$#this.which#$@$#FIELD	darwInvest.processable.GetPeriod	null	which	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/processable/GetPeriod.java
darwInvest.processable.GetPeriod#$@$#GetPeriod(int)#$@$#this#$@$#FIELD	darwInvest.processable.GetPeriod	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/processable/GetPeriod.java
darwInvest.processable.GetPeriod#$@$#GetPeriod(int)#$@$#which#$@$#PARAMETER	darwInvest.processable.GetPeriod	GetPeriod(int)	which	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/processable/GetPeriod.java
darwInvest.processable.GetPeriod#$@$#getValue(java.lang.Object,darwin.population.Node[])#$@$#parameters#$@$#PARAMETER	darwInvest.processable.GetPeriod	getValue(java.lang.Object,darwin.population.Node[])	parameters	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/processable/GetPeriod.java
darwInvest.processable.GetPeriod#$@$#getValue(java.lang.Object,darwin.population.Node[])#$@$#childNodes[0].getValue#$@$#METHOD	darwin.population.Node	getValue(java.lang.Object)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Node.java
darwInvest.processable.GetPeriod#$@$#getValue(java.lang.Object,darwin.population.Node[])#$@$#childNodes#$@$#PARAMETER	darwInvest.processable.GetPeriod	getValue(java.lang.Object,darwin.population.Node[])	childNodes	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/processable/GetPeriod.java
darwInvest.processable.GetPeriod#$@$#getValue(java.lang.Object,darwin.population.Node[])#$@$#parameters#$@$#PARAMETER	darwInvest.processable.GetPeriod	getValue(java.lang.Object,darwin.population.Node[])	parameters	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/processable/GetPeriod.java
darwInvest.processable.GetPeriod#$@$#getValue(java.lang.Object,darwin.population.Node[])#$@$#now.getTime#$@$#METHOD	darwInvest.environment.StrategyParameters	getTime(double)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/environment/StrategyParameters.java
darwInvest.processable.GetPeriod#$@$#getValue(java.lang.Object,darwin.population.Node[])#$@$#cal.setTime#$@$#METHOD	java.util.Calendar	setTime(java.util.Date)	null	null	null
darwInvest.processable.GetPeriod#$@$#getValue(java.lang.Object,darwin.population.Node[])#$@$#which#$@$#FIELD	darwInvest.processable.GetPeriod	null	which	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/processable/GetPeriod.java
darwInvest.processable.GetPeriod#$@$#getValue(java.lang.Object,darwin.population.Node[])#$@$#darwInvest.processable.GetPeriod.MONTH#$@$#FIELD	darwInvest.processable.GetPeriod	null	MONTH	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/processable/GetPeriod.java
darwInvest.processable.GetPeriod#$@$#getValue(java.lang.Object,darwin.population.Node[])#$@$#cal.get#$@$#METHOD	java.util.Calendar	get(int)	null	null	null
darwInvest.processable.GetPeriod#$@$#getValue(java.lang.Object,darwin.population.Node[])#$@$#java.util.Calendar.MONTH#$@$#FIELD	java.util.Calendar	null	MONTH	null	null
darwInvest.processable.GetPeriod#$@$#getValue(java.lang.Object,darwin.population.Node[])#$@$#which#$@$#FIELD	darwInvest.processable.GetPeriod	null	which	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/processable/GetPeriod.java
darwInvest.processable.GetPeriod#$@$#getValue(java.lang.Object,darwin.population.Node[])#$@$#darwInvest.processable.GetPeriod.DAY_OF_MONTH#$@$#FIELD	darwInvest.processable.GetPeriod	null	DAY_OF_MONTH	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/processable/GetPeriod.java
darwInvest.processable.GetPeriod#$@$#getValue(java.lang.Object,darwin.population.Node[])#$@$#cal.get#$@$#METHOD	java.util.Calendar	get(int)	null	null	null
darwInvest.processable.GetPeriod#$@$#getValue(java.lang.Object,darwin.population.Node[])#$@$#java.util.Calendar.DAY_OF_MONTH#$@$#FIELD	java.util.Calendar	null	DAY_OF_MONTH	null	null
darwInvest.processable.GetPeriod#$@$#getValue(java.lang.Object,darwin.population.Node[])#$@$#which#$@$#FIELD	darwInvest.processable.GetPeriod	null	which	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/processable/GetPeriod.java
darwInvest.processable.GetPeriod#$@$#getValue(java.lang.Object,darwin.population.Node[])#$@$#darwInvest.processable.GetPeriod.DAY_OF_WEEK#$@$#FIELD	darwInvest.processable.GetPeriod	null	DAY_OF_WEEK	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/processable/GetPeriod.java
darwInvest.processable.GetPeriod#$@$#getValue(java.lang.Object,darwin.population.Node[])#$@$#cal.get#$@$#METHOD	java.util.Calendar	get(int)	null	null	null
darwInvest.processable.GetPeriod#$@$#getValue(java.lang.Object,darwin.population.Node[])#$@$#java.util.Calendar.DAY_OF_WEEK#$@$#FIELD	java.util.Calendar	null	DAY_OF_WEEK	null	null
darwInvest.processable.GetPeriod#$@$#getValue(java.lang.Object,darwin.population.Node[])#$@$#which#$@$#FIELD	darwInvest.processable.GetPeriod	null	which	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/processable/GetPeriod.java
darwInvest.processable.GetPeriod#$@$#getValue(java.lang.Object,darwin.population.Node[])#$@$#darwInvest.processable.GetPeriod.DAY_OF_WEEK_IN_MONTH#$@$#FIELD	darwInvest.processable.GetPeriod	null	DAY_OF_WEEK_IN_MONTH	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/processable/GetPeriod.java
darwInvest.processable.GetPeriod#$@$#getValue(java.lang.Object,darwin.population.Node[])#$@$#cal.get#$@$#METHOD	java.util.Calendar	get(int)	null	null	null
darwInvest.processable.GetPeriod#$@$#getValue(java.lang.Object,darwin.population.Node[])#$@$#java.util.Calendar.DAY_OF_WEEK_IN_MONTH#$@$#FIELD	java.util.Calendar	null	DAY_OF_WEEK_IN_MONTH	null	null
darwInvest.processable.GetPeriod#$@$#getValue(java.lang.Object,darwin.population.Node[])#$@$#which#$@$#FIELD	darwInvest.processable.GetPeriod	null	which	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/processable/GetPeriod.java
darwInvest.processable.GetPeriod#$@$#getValue(java.lang.Object,darwin.population.Node[])#$@$#darwInvest.processable.GetPeriod.AM_PM#$@$#FIELD	darwInvest.processable.GetPeriod	null	AM_PM	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/processable/GetPeriod.java
darwInvest.processable.GetPeriod#$@$#getValue(java.lang.Object,darwin.population.Node[])#$@$#cal.get#$@$#METHOD	java.util.Calendar	get(int)	null	null	null
darwInvest.processable.GetPeriod#$@$#getValue(java.lang.Object,darwin.population.Node[])#$@$#java.util.Calendar.AM_PM#$@$#FIELD	java.util.Calendar	null	AM_PM	null	null
darwInvest.processable.GetPeriod#$@$#getValue(java.lang.Object,darwin.population.Node[])#$@$#which#$@$#FIELD	darwInvest.processable.GetPeriod	null	which	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/processable/GetPeriod.java
darwInvest.processable.GetPeriod#$@$#getValue(java.lang.Object,darwin.population.Node[])#$@$#darwInvest.processable.GetPeriod.HOUR_OF_DAY#$@$#FIELD	darwInvest.processable.GetPeriod	null	HOUR_OF_DAY	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/processable/GetPeriod.java
darwInvest.processable.GetPeriod#$@$#getValue(java.lang.Object,darwin.population.Node[])#$@$#cal.get#$@$#METHOD	java.util.Calendar	get(int)	null	null	null
darwInvest.processable.GetPeriod#$@$#getValue(java.lang.Object,darwin.population.Node[])#$@$#java.util.Calendar.HOUR_OF_DAY#$@$#FIELD	java.util.Calendar	null	HOUR_OF_DAY	null	null
darwInvest.processable.GetPeriod#$@$#getValue(java.lang.Object,darwin.population.Node[])#$@$#which#$@$#FIELD	darwInvest.processable.GetPeriod	null	which	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/processable/GetPeriod.java
darwInvest.processable.GetPeriod#$@$#getValue(java.lang.Object,darwin.population.Node[])#$@$#darwInvest.processable.GetPeriod.MINUTE#$@$#FIELD	darwInvest.processable.GetPeriod	null	MINUTE	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/processable/GetPeriod.java
darwInvest.processable.GetPeriod#$@$#getValue(java.lang.Object,darwin.population.Node[])#$@$#cal.get#$@$#METHOD	java.util.Calendar	get(int)	null	null	null
darwInvest.processable.GetPeriod#$@$#getValue(java.lang.Object,darwin.population.Node[])#$@$#java.util.Calendar.MINUTE#$@$#FIELD	java.util.Calendar	null	MINUTE	null	null
darwInvest.processable.GetPeriod#$@$#getValue(java.lang.Object,darwin.population.Node[])#$@$#which#$@$#FIELD	darwInvest.processable.GetPeriod	null	which	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/processable/GetPeriod.java
darwInvest.processable.GetPeriod#$@$#getValue(java.lang.Object,darwin.population.Node[])#$@$#darwInvest.processable.GetPeriod.SEASON#$@$#FIELD	darwInvest.processable.GetPeriod	null	SEASON	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/processable/GetPeriod.java
darwInvest.processable.GetPeriod#$@$#getValue(java.lang.Object,darwin.population.Node[])#$@$#cal.get#$@$#METHOD	java.util.Calendar	get(int)	null	null	null
darwInvest.processable.GetPeriod#$@$#getValue(java.lang.Object,darwin.population.Node[])#$@$#java.util.Calendar.MONTH#$@$#FIELD	java.util.Calendar	null	MONTH	null	null
darwInvest.processable.GetPeriod#$@$#getValue(java.lang.Object,darwin.population.Node[])#$@$#cal.get#$@$#METHOD	java.util.Calendar	get(int)	null	null	null
darwInvest.processable.GetPeriod#$@$#getValue(java.lang.Object,darwin.population.Node[])#$@$#darwInvest.processable.GetPeriod.DAY_OF_MONTH#$@$#FIELD	darwInvest.processable.GetPeriod	null	DAY_OF_MONTH	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/processable/GetPeriod.java
darwInvest.processable.GetPeriod#$@$#getValue(java.lang.Object,darwin.population.Node[])#$@$#cal.get#$@$#METHOD	java.util.Calendar	get(int)	null	null	null
darwInvest.processable.GetPeriod#$@$#getValue(java.lang.Object,darwin.population.Node[])#$@$#java.util.Calendar.MONTH#$@$#FIELD	java.util.Calendar	null	MONTH	null	null
darwInvest.processable.GetPeriod#$@$#getValue(java.lang.Object,darwin.population.Node[])#$@$#cal.get#$@$#METHOD	java.util.Calendar	get(int)	null	null	null
darwInvest.processable.GetPeriod#$@$#getValue(java.lang.Object,darwin.population.Node[])#$@$#darwInvest.processable.GetPeriod.DAY_OF_MONTH#$@$#FIELD	darwInvest.processable.GetPeriod	null	DAY_OF_MONTH	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/processable/GetPeriod.java
darwInvest.processable.GetPeriod#$@$#clone()#$@$#which#$@$#FIELD	darwInvest.processable.GetPeriod	null	which	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/processable/GetPeriod.java
darwInvest.processable.GetPeriod#$@$#equalsValue(darwin.problemObject.Processable)#$@$#other#$@$#PARAMETER	darwInvest.processable.GetPeriod	equalsValue(darwin.problemObject.Processable)	other	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/processable/GetPeriod.java
darwInvest.processable.GetPeriod#$@$#equalsValue(darwin.problemObject.Processable)#$@$#con.getWhich#$@$#METHOD	darwInvest.processable.GetPeriod	getWhich()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/processable/GetPeriod.java
darwInvest.processable.GetPeriod#$@$#equalsValue(darwin.problemObject.Processable)#$@$#which#$@$#FIELD	darwInvest.processable.GetPeriod	null	which	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/processable/GetPeriod.java
