enc_class	enc_method	exp	kind	class	method	param	index	uri
es.dagaren.gladiator.main.Main#$@$#main(java.lang.String[])#$@$#args.length#$@$#FIELD	Array	null	length	null	null
es.dagaren.gladiator.transposition.Entry#$@$#setScore(int)#$@$#this#$@$#FIELD	es.dagaren.gladiator.transposition.Entry	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/transposition/Entry.java
es.dagaren.gladiator.transposition.Entry#$@$#setScore(int)#$@$#score#$@$#PARAMETER	es.dagaren.gladiator.transposition.Entry	setScore(int)	score	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/transposition/Entry.java
es.dagaren.gladiator.transposition.Entry#$@$#getType()#$@$#type#$@$#FIELD	es.dagaren.gladiator.transposition.Entry	null	type	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/transposition/Entry.java
es.dagaren.gladiator.transposition.Entry#$@$#setType(es.dagaren.gladiator.transposition.Entry.Type)#$@$#this.type#$@$#FIELD	es.dagaren.gladiator.transposition.Entry	null	type	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/transposition/Entry.java
es.dagaren.gladiator.transposition.Entry#$@$#setType(es.dagaren.gladiator.transposition.Entry.Type)#$@$#this#$@$#FIELD	es.dagaren.gladiator.transposition.Entry	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/transposition/Entry.java
es.dagaren.gladiator.transposition.Entry#$@$#setType(es.dagaren.gladiator.transposition.Entry.Type)#$@$#type#$@$#PARAMETER	es.dagaren.gladiator.transposition.Entry	setType(es.dagaren.gladiator.transposition.Entry.Type)	type	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/transposition/Entry.java
es.dagaren.gladiator.transposition.Entry#$@$#getAge()#$@$#age#$@$#FIELD	es.dagaren.gladiator.transposition.Entry	null	age	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/transposition/Entry.java
es.dagaren.gladiator.transposition.Entry#$@$#setAge(int)#$@$#this.age#$@$#FIELD	es.dagaren.gladiator.transposition.Entry	null	age	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/transposition/Entry.java
es.dagaren.gladiator.transposition.Entry#$@$#setAge(int)#$@$#this#$@$#FIELD	es.dagaren.gladiator.transposition.Entry	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/transposition/Entry.java
es.dagaren.gladiator.transposition.Entry#$@$#setAge(int)#$@$#age#$@$#PARAMETER	es.dagaren.gladiator.transposition.Entry	setAge(int)	age	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/transposition/Entry.java
es.dagaren.gladiator.transposition.Entry#$@$#getBestMove()#$@$#bestMove#$@$#FIELD	es.dagaren.gladiator.transposition.Entry	null	bestMove	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/transposition/Entry.java
es.dagaren.gladiator.transposition.Entry#$@$#setBestMove(es.dagaren.gladiator.representation.Movement)#$@$#this.bestMove#$@$#FIELD	es.dagaren.gladiator.transposition.Entry	null	bestMove	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/transposition/Entry.java
es.dagaren.gladiator.transposition.Entry#$@$#setBestMove(es.dagaren.gladiator.representation.Movement)#$@$#this#$@$#FIELD	es.dagaren.gladiator.transposition.Entry	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/transposition/Entry.java
es.dagaren.gladiator.transposition.Entry#$@$#setBestMove(es.dagaren.gladiator.representation.Movement)#$@$#bestMove#$@$#PARAMETER	es.dagaren.gladiator.transposition.Entry	setBestMove(es.dagaren.gladiator.representation.Movement)	bestMove	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/transposition/Entry.java
es.dagaren.gladiator.transposition.Entry#$@$#probe(int,int,int)#$@$#this.depth#$@$#FIELD	es.dagaren.gladiator.transposition.Entry	null	depth	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/transposition/Entry.java
es.dagaren.gladiator.transposition.Entry#$@$#probe(int,int,int)#$@$#this#$@$#FIELD	es.dagaren.gladiator.transposition.Entry	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/transposition/Entry.java
es.dagaren.gladiator.transposition.Entry#$@$#probe(int,int,int)#$@$#depth#$@$#PARAMETER	es.dagaren.gladiator.transposition.Entry	probe(int,int,int)	depth	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/transposition/Entry.java
es.dagaren.gladiator.transposition.Entry#$@$#probe(int,int,int)#$@$#this.type#$@$#FIELD	es.dagaren.gladiator.transposition.Entry	null	type	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/transposition/Entry.java
es.dagaren.gladiator.transposition.Entry#$@$#probe(int,int,int)#$@$#this#$@$#FIELD	es.dagaren.gladiator.transposition.Entry	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/transposition/Entry.java
es.dagaren.gladiator.transposition.Entry#$@$#probe(int,int,int)#$@$#score#$@$#FIELD	es.dagaren.gladiator.transposition.Entry	null	score	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/transposition/Entry.java
es.dagaren.gladiator.transposition.Entry#$@$#probe(int,int,int)#$@$#this.type#$@$#FIELD	es.dagaren.gladiator.transposition.Entry	null	type	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/transposition/Entry.java
es.dagaren.gladiator.transposition.Entry#$@$#probe(int,int,int)#$@$#this#$@$#FIELD	es.dagaren.gladiator.transposition.Entry	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/transposition/Entry.java
es.dagaren.gladiator.transposition.Entry#$@$#probe(int,int,int)#$@$#this.score#$@$#FIELD	es.dagaren.gladiator.transposition.Entry	null	score	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/transposition/Entry.java
es.dagaren.gladiator.transposition.Entry#$@$#probe(int,int,int)#$@$#this#$@$#FIELD	es.dagaren.gladiator.transposition.Entry	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/transposition/Entry.java
es.dagaren.gladiator.transposition.Entry#$@$#probe(int,int,int)#$@$#alpha#$@$#PARAMETER	es.dagaren.gladiator.transposition.Entry	probe(int,int,int)	alpha	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/transposition/Entry.java
es.dagaren.gladiator.transposition.Entry#$@$#probe(int,int,int)#$@$#alpha#$@$#PARAMETER	es.dagaren.gladiator.transposition.Entry	probe(int,int,int)	alpha	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/transposition/Entry.java
es.dagaren.gladiator.transposition.Entry#$@$#probe(int,int,int)#$@$#this.type#$@$#FIELD	es.dagaren.gladiator.transposition.Entry	null	type	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/transposition/Entry.java
es.dagaren.gladiator.transposition.Entry#$@$#probe(int,int,int)#$@$#this#$@$#FIELD	es.dagaren.gladiator.transposition.Entry	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/transposition/Entry.java
es.dagaren.gladiator.transposition.Entry#$@$#probe(int,int,int)#$@$#this.score#$@$#FIELD	es.dagaren.gladiator.transposition.Entry	null	score	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/transposition/Entry.java
es.dagaren.gladiator.transposition.Entry#$@$#probe(int,int,int)#$@$#this#$@$#FIELD	es.dagaren.gladiator.transposition.Entry	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/transposition/Entry.java
es.dagaren.gladiator.transposition.Entry#$@$#probe(int,int,int)#$@$#beta#$@$#PARAMETER	es.dagaren.gladiator.transposition.Entry	probe(int,int,int)	beta	2	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/transposition/Entry.java
es.dagaren.gladiator.transposition.Entry#$@$#probe(int,int,int)#$@$#beta#$@$#PARAMETER	es.dagaren.gladiator.transposition.Entry	probe(int,int,int)	beta	2	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/transposition/Entry.java
es.dagaren.gladiator.search.AlphaBetaSearcher#$@$#search()#$@$#numUpdates#$@$#FIELD	es.dagaren.gladiator.search.AlphaBetaSearcher	null	numUpdates	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/search/AlphaBetaSearcher.java
es.dagaren.gladiator.search.AlphaBetaSearcher#$@$#search()#$@$#visitedNodes#$@$#FIELD	es.dagaren.gladiator.search.Searcher	null	visitedNodes	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/search/Searcher.java
es.dagaren.gladiator.search.AlphaBetaSearcher#$@$#search()#$@$#cutoffs#$@$#FIELD	es.dagaren.gladiator.search.AlphaBetaSearcher	null	cutoffs	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/search/AlphaBetaSearcher.java
es.dagaren.gladiator.search.AlphaBetaSearcher#$@$#search()#$@$#qcutoffs#$@$#FIELD	es.dagaren.gladiator.search.AlphaBetaSearcher	null	qcutoffs	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/search/AlphaBetaSearcher.java
es.dagaren.gladiator.search.AlphaBetaSearcher#$@$#search()#$@$#nodes#$@$#FIELD	es.dagaren.gladiator.search.AlphaBetaSearcher	null	nodes	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/search/AlphaBetaSearcher.java
es.dagaren.gladiator.search.AlphaBetaSearcher#$@$#search()#$@$#qnodes#$@$#FIELD	es.dagaren.gladiator.search.AlphaBetaSearcher	null	qnodes	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/search/AlphaBetaSearcher.java
es.dagaren.gladiator.search.AlphaBetaSearcher#$@$#search()#$@$#firstMoveHits#$@$#FIELD	es.dagaren.gladiator.search.AlphaBetaSearcher	null	firstMoveHits	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/search/AlphaBetaSearcher.java
es.dagaren.gladiator.search.AlphaBetaSearcher#$@$#search()#$@$#transpositionCutoffs#$@$#FIELD	es.dagaren.gladiator.search.AlphaBetaSearcher	null	transpositionCutoffs	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/search/AlphaBetaSearcher.java
es.dagaren.gladiator.search.AlphaBetaSearcher#$@$#search()#$@$#aspirationSearchs#$@$#FIELD	es.dagaren.gladiator.search.AlphaBetaSearcher	null	aspirationSearchs	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/search/AlphaBetaSearcher.java
es.dagaren.gladiator.search.AlphaBetaSearcher#$@$#search()#$@$#aspirationSearchsFails#$@$#FIELD	es.dagaren.gladiator.search.AlphaBetaSearcher	null	aspirationSearchsFails	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/search/AlphaBetaSearcher.java
es.dagaren.gladiator.search.AlphaBetaSearcher#$@$#search()#$@$#aspirationSearchInstabilityFails#$@$#FIELD	es.dagaren.gladiator.search.AlphaBetaSearcher	null	aspirationSearchInstabilityFails	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/search/AlphaBetaSearcher.java
es.dagaren.gladiator.search.AlphaBetaSearcher#$@$#search()#$@$#pvsHits#$@$#FIELD	es.dagaren.gladiator.search.AlphaBetaSearcher	null	pvsHits	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/search/AlphaBetaSearcher.java
es.dagaren.gladiator.search.AlphaBetaSearcher#$@$#search()#$@$#pvsFails#$@$#FIELD	es.dagaren.gladiator.search.AlphaBetaSearcher	null	pvsFails	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/search/AlphaBetaSearcher.java
es.dagaren.gladiator.search.AlphaBetaSearcher#$@$#search()#$@$#withTranspositionMove#$@$#FIELD	es.dagaren.gladiator.search.AlphaBetaSearcher	null	withTranspositionMove	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/search/AlphaBetaSearcher.java
es.dagaren.gladiator.search.AlphaBetaSearcher#$@$#search()#$@$#withoutTranspositionMove#$@$#FIELD	es.dagaren.gladiator.search.AlphaBetaSearcher	null	withoutTranspositionMove	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/search/AlphaBetaSearcher.java
es.dagaren.gladiator.search.AlphaBetaSearcher#$@$#search()#$@$#futilityPrunings#$@$#FIELD	es.dagaren.gladiator.search.AlphaBetaSearcher	null	futilityPrunings	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/search/AlphaBetaSearcher.java
es.dagaren.gladiator.search.AlphaBetaSearcher#$@$#search()#$@$#bestPrincipalVariation#$@$#FIELD	es.dagaren.gladiator.search.Searcher	null	bestPrincipalVariation	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/search/Searcher.java
es.dagaren.gladiator.search.AlphaBetaSearcher#$@$#search()#$@$#bestScore#$@$#FIELD	es.dagaren.gladiator.search.AlphaBetaSearcher	null	bestScore	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/search/AlphaBetaSearcher.java
es.dagaren.gladiator.search.AlphaBetaSearcher#$@$#search()#$@$#depth#$@$#FIELD	es.dagaren.gladiator.search.AlphaBetaSearcher	null	depth	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/search/AlphaBetaSearcher.java
es.dagaren.gladiator.search.AlphaBetaSearcher#$@$#search()#$@$#depth#$@$#FIELD	es.dagaren.gladiator.search.AlphaBetaSearcher	null	depth	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/search/AlphaBetaSearcher.java
es.dagaren.gladiator.search.AlphaBetaSearcher#$@$#search()#$@$#depthLimit#$@$#FIELD	es.dagaren.gladiator.search.Searcher	null	depthLimit	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/search/Searcher.java
es.dagaren.gladiator.search.AlphaBetaSearcher#$@$#search()#$@$#depth#$@$#FIELD	es.dagaren.gladiator.search.AlphaBetaSearcher	null	depth	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/search/AlphaBetaSearcher.java
es.dagaren.gladiator.search.AlphaBetaSearcher#$@$#search()#$@$#logger.info#$@$#METHOD	org.apache.log4j.Category	info(java.lang.Object)	null	null	null
es.dagaren.gladiator.search.AlphaBetaSearcher#$@$#search()#$@$#logger#$@$#FIELD	es.dagaren.gladiator.search.AlphaBetaSearcher	null	logger	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/search/AlphaBetaSearcher.java
es.dagaren.gladiator.search.AlphaBetaSearcher#$@$#search()#$@$#depth#$@$#FIELD	es.dagaren.gladiator.search.AlphaBetaSearcher	null	depth	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/search/AlphaBetaSearcher.java
es.dagaren.gladiator.search.AlphaBetaSearcher#$@$#search()#$@$#System.currentTimeMillis#$@$#METHOD	java.lang.System	currentTimeMillis()	null	null	null
es.dagaren.gladiator.search.AlphaBetaSearcher#$@$#search()#$@$#iterationNodes#$@$#FIELD	es.dagaren.gladiator.search.AlphaBetaSearcher	null	iterationNodes	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/search/AlphaBetaSearcher.java
es.dagaren.gladiator.search.AlphaBetaSearcher#$@$#search()#$@$#alpha#$@$#FIELD	es.dagaren.gladiator.search.AlphaBetaSearcher	null	alpha	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/search/AlphaBetaSearcher.java
es.dagaren.gladiator.search.AlphaBetaSearcher#$@$#search()#$@$#windowSize#$@$#FIELD	es.dagaren.gladiator.search.AlphaBetaSearcher	null	windowSize	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/search/AlphaBetaSearcher.java
es.dagaren.gladiator.search.AlphaBetaSearcher#$@$#search()#$@$#beta#$@$#FIELD	es.dagaren.gladiator.search.AlphaBetaSearcher	null	beta	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/search/AlphaBetaSearcher.java
es.dagaren.gladiator.search.AlphaBetaSearcher#$@$#search()#$@$#windowSize#$@$#FIELD	es.dagaren.gladiator.search.AlphaBetaSearcher	null	windowSize	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/search/AlphaBetaSearcher.java
es.dagaren.gladiator.search.AlphaBetaSearcher#$@$#search()#$@$#aspirationSearchs#$@$#FIELD	es.dagaren.gladiator.search.AlphaBetaSearcher	null	aspirationSearchs	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/search/AlphaBetaSearcher.java
es.dagaren.gladiator.search.AlphaBetaSearcher#$@$#search()#$@$#alphaBeta#$@$#METHOD	es.dagaren.gladiator.search.AlphaBetaSearcher	alphaBeta(es.dagaren.gladiator.representation.Position,int,int,int,int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/search/AlphaBetaSearcher.java
es.dagaren.gladiator.search.AlphaBetaSearcher#$@$#search()#$@$#position#$@$#FIELD	es.dagaren.gladiator.search.Searcher	null	position	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/search/Searcher.java
es.dagaren.gladiator.search.AlphaBetaSearcher#$@$#search()#$@$#alpha#$@$#FIELD	es.dagaren.gladiator.search.AlphaBetaSearcher	null	alpha	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/search/AlphaBetaSearcher.java
es.dagaren.gladiator.search.AlphaBetaSearcher#$@$#search()#$@$#beta#$@$#FIELD	es.dagaren.gladiator.search.AlphaBetaSearcher	null	beta	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/search/AlphaBetaSearcher.java
es.dagaren.gladiator.search.AlphaBetaSearcher#$@$#search()#$@$#depth#$@$#FIELD	es.dagaren.gladiator.search.AlphaBetaSearcher	null	depth	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/search/AlphaBetaSearcher.java
es.dagaren.gladiator.search.AlphaBetaSearcher#$@$#search()#$@$#EXIT_SCORE#$@$#FIELD	es.dagaren.gladiator.search.Searcher	null	EXIT_SCORE	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/search/Searcher.java
es.dagaren.gladiator.search.AlphaBetaSearcher#$@$#search()#$@$#alpha#$@$#FIELD	es.dagaren.gladiator.search.AlphaBetaSearcher	null	alpha	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/search/AlphaBetaSearcher.java
es.dagaren.gladiator.search.AlphaBetaSearcher#$@$#search()#$@$#beta#$@$#FIELD	es.dagaren.gladiator.search.AlphaBetaSearcher	null	beta	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/search/AlphaBetaSearcher.java
