enc_class	enc_method	exp	kind	class	method	param	index	uri
Main#$@$#main(java.lang.String[])#$@$#System.out.println#$@$#METHOD	java.io.PrintStream	println(java.lang.String)	null	null	null
frontend.registerPane#$@$#makeGbc2(int,int)#$@$#gbc.gridy#$@$#FIELD	java.awt.GridBagConstraints	null	gridy	null	null
frontend.registerPane#$@$#makeGbc2(int,int)#$@$#y#$@$#PARAMETER	frontend.registerPane	makeGbc2(int,int)	y	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/registerPane.java
frontend.registerPane#$@$#makeGbc2(int,int)#$@$#gbc.weightx#$@$#FIELD	java.awt.GridBagConstraints	null	weightx	null	null
frontend.registerPane#$@$#makeGbc2(int,int)#$@$#gbc.weighty#$@$#FIELD	java.awt.GridBagConstraints	null	weighty	null	null
frontend.registerPane#$@$#makeGbc2(int,int)#$@$#gbc.insets#$@$#FIELD	java.awt.GridBagConstraints	null	insets	null	null
frontend.registerPane#$@$#makeGbc2(int,int)#$@$#gbc.anchor#$@$#FIELD	java.awt.GridBagConstraints	null	anchor	null	null
frontend.registerPane#$@$#makeGbc2(int,int)#$@$#x#$@$#PARAMETER	frontend.registerPane	makeGbc2(int,int)	x	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/registerPane.java
frontend.registerPane#$@$#makeGbc2(int,int)#$@$#java.awt.GridBagConstraints.LINE_START#$@$#FIELD	java.awt.GridBagConstraints	null	LINE_START	null	null
frontend.registerPane#$@$#makeGbc2(int,int)#$@$#java.awt.GridBagConstraints.LINE_END#$@$#FIELD	java.awt.GridBagConstraints	null	LINE_END	null	null
frontend.registerPane#$@$#makeGbc2(int,int)#$@$#gbc.fill#$@$#FIELD	java.awt.GridBagConstraints	null	fill	null	null
frontend.registerPane#$@$#makeGbc2(int,int)#$@$#java.awt.GridBagConstraints.HORIZONTAL#$@$#FIELD	java.awt.GridBagConstraints	null	HORIZONTAL	null	null
frontend.MyPanel#$@$#MyPanel()#$@$#h#$@$#FIELD	frontend.MyPanel	null	h	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/registerPane.java
frontend.MyPanel#$@$#MyPanel()#$@$#addMouseListener#$@$#METHOD	java.awt.Component	addMouseListener(java.awt.event.MouseListener)	null	null	null
frontend.MyPanel#$@$#MyPanel()#$@$#frontend.MyPanel.menu#$@$#FIELD	frontend.MyPanel	null	menu	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/registerPane.java
frontend.MyPanel#$@$#MyPanel()#$@$#lang1.addActionListener#$@$#METHOD	javax.swing.AbstractButton	addActionListener(java.awt.event.ActionListener)	null	null	null
frontend.MyPanel$1#$@$#actionPerformed(java.awt.event.ActionEvent)#$@$#frontend.handlers.regMode#$@$#FIELD	frontend.handlers	null	regMode	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/handlers.java
frontend.MyPanel$1#$@$#actionPerformed(java.awt.event.ActionEvent)#$@$#h.update#$@$#METHOD	frontend.handlers	update(int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/handlers.java
frontend.MyPanel$1#$@$#actionPerformed(java.awt.event.ActionEvent)#$@$#h#$@$#FIELD	frontend.MyPanel	null	h	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/registerPane.java
frontend.MyPanel#$@$#MyPanel()#$@$#menu.add#$@$#METHOD	javax.swing.JPopupMenu	add(javax.swing.JMenuItem)	null	null	null
frontend.MyPanel#$@$#MyPanel()#$@$#frontend.MyPanel.menu#$@$#FIELD	frontend.MyPanel	null	menu	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/registerPane.java
frontend.MyPanel#$@$#MyPanel()#$@$#lang2.addActionListener#$@$#METHOD	javax.swing.AbstractButton	addActionListener(java.awt.event.ActionListener)	null	null	null
frontend.MyPanel$2#$@$#actionPerformed(java.awt.event.ActionEvent)#$@$#frontend.handlers.regMode#$@$#FIELD	frontend.handlers	null	regMode	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/handlers.java
frontend.MyPanel$2#$@$#actionPerformed(java.awt.event.ActionEvent)#$@$#h.update#$@$#METHOD	frontend.handlers	update(int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/handlers.java
frontend.MyPanel$2#$@$#actionPerformed(java.awt.event.ActionEvent)#$@$#h#$@$#FIELD	frontend.MyPanel	null	h	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/registerPane.java
frontend.MyPanel#$@$#MyPanel()#$@$#menu.add#$@$#METHOD	javax.swing.JPopupMenu	add(javax.swing.JMenuItem)	null	null	null
frontend.MyPanel#$@$#MyPanel()#$@$#frontend.MyPanel.menu#$@$#FIELD	frontend.MyPanel	null	menu	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/registerPane.java
frontend.MyPanel#$@$#MyPanel()#$@$#lang3.addActionListener#$@$#METHOD	javax.swing.AbstractButton	addActionListener(java.awt.event.ActionListener)	null	null	null
frontend.MyPanel$3#$@$#actionPerformed(java.awt.event.ActionEvent)#$@$#frontend.handlers.regMode#$@$#FIELD	frontend.handlers	null	regMode	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/handlers.java
frontend.MyPanel$3#$@$#actionPerformed(java.awt.event.ActionEvent)#$@$#h.update#$@$#METHOD	frontend.handlers	update(int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/handlers.java
frontend.MyPanel$3#$@$#actionPerformed(java.awt.event.ActionEvent)#$@$#h#$@$#FIELD	frontend.MyPanel	null	h	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/registerPane.java
frontend.MyPanel#$@$#MyPanel()#$@$#menu.add#$@$#METHOD	javax.swing.JPopupMenu	add(javax.swing.JMenuItem)	null	null	null
frontend.MyPanel#$@$#MyPanel()#$@$#frontend.MyPanel.menu#$@$#FIELD	frontend.MyPanel	null	menu	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/registerPane.java
frontend.MyPanel#$@$#MyPanel()#$@$#lang4.addActionListener#$@$#METHOD	javax.swing.AbstractButton	addActionListener(java.awt.event.ActionListener)	null	null	null
frontend.MyPanel$4#$@$#actionPerformed(java.awt.event.ActionEvent)#$@$#frontend.handlers.regMode#$@$#FIELD	frontend.handlers	null	regMode	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/handlers.java
frontend.MyPanel$4#$@$#actionPerformed(java.awt.event.ActionEvent)#$@$#h.update#$@$#METHOD	frontend.handlers	update(int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/handlers.java
frontend.MyPanel$4#$@$#actionPerformed(java.awt.event.ActionEvent)#$@$#h#$@$#FIELD	frontend.MyPanel	null	h	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/registerPane.java
frontend.MyPanel#$@$#MyPanel()#$@$#menu.add#$@$#METHOD	javax.swing.JPopupMenu	add(javax.swing.JMenuItem)	null	null	null
frontend.MyPanel#$@$#MyPanel()#$@$#frontend.MyPanel.menu#$@$#FIELD	frontend.MyPanel	null	menu	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/registerPane.java
frontend.MyPanel$PopupTriggerListener#$@$#mousePressed(java.awt.event.MouseEvent)#$@$#ev.isPopupTrigger#$@$#METHOD	java.awt.event.MouseEvent	isPopupTrigger()	null	null	null
frontend.MyPanel$PopupTriggerListener#$@$#mousePressed(java.awt.event.MouseEvent)#$@$#ev#$@$#PARAMETER	frontend.MyPanel$PopupTriggerListener	mousePressed(java.awt.event.MouseEvent)	ev	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/registerPane.java
frontend.MyPanel$PopupTriggerListener#$@$#mousePressed(java.awt.event.MouseEvent)#$@$#menu.show#$@$#METHOD	javax.swing.JPopupMenu	show(java.awt.Component,int,int)	null	null	null
frontend.MyPanel$PopupTriggerListener#$@$#mousePressed(java.awt.event.MouseEvent)#$@$#frontend.MyPanel.menu#$@$#FIELD	frontend.MyPanel	null	menu	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/registerPane.java
frontend.MyPanel$PopupTriggerListener#$@$#mousePressed(java.awt.event.MouseEvent)#$@$#ev.getComponent#$@$#METHOD	java.awt.event.ComponentEvent	getComponent()	null	null	null
frontend.MyPanel$PopupTriggerListener#$@$#mousePressed(java.awt.event.MouseEvent)#$@$#ev#$@$#PARAMETER	frontend.MyPanel$PopupTriggerListener	mousePressed(java.awt.event.MouseEvent)	ev	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/registerPane.java
frontend.MyPanel$PopupTriggerListener#$@$#mousePressed(java.awt.event.MouseEvent)#$@$#ev.getX#$@$#METHOD	java.awt.event.MouseEvent	getX()	null	null	null
frontend.MyPanel$PopupTriggerListener#$@$#mousePressed(java.awt.event.MouseEvent)#$@$#ev#$@$#PARAMETER	frontend.MyPanel$PopupTriggerListener	mousePressed(java.awt.event.MouseEvent)	ev	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/registerPane.java
frontend.MyPanel$PopupTriggerListener#$@$#mousePressed(java.awt.event.MouseEvent)#$@$#ev.getY#$@$#METHOD	java.awt.event.MouseEvent	getY()	null	null	null
frontend.MyPanel$PopupTriggerListener#$@$#mousePressed(java.awt.event.MouseEvent)#$@$#ev#$@$#PARAMETER	frontend.MyPanel$PopupTriggerListener	mousePressed(java.awt.event.MouseEvent)	ev	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/registerPane.java
frontend.MyPanel$PopupTriggerListener#$@$#mouseReleased(java.awt.event.MouseEvent)#$@$#ev.isPopupTrigger#$@$#METHOD	java.awt.event.MouseEvent	isPopupTrigger()	null	null	null
frontend.MyPanel$PopupTriggerListener#$@$#mouseReleased(java.awt.event.MouseEvent)#$@$#ev#$@$#PARAMETER	frontend.MyPanel$PopupTriggerListener	mouseReleased(java.awt.event.MouseEvent)	ev	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/registerPane.java
frontend.MyPanel$PopupTriggerListener#$@$#mouseReleased(java.awt.event.MouseEvent)#$@$#menu.show#$@$#METHOD	javax.swing.JPopupMenu	show(java.awt.Component,int,int)	null	null	null
frontend.MyPanel$PopupTriggerListener#$@$#mouseReleased(java.awt.event.MouseEvent)#$@$#frontend.MyPanel.menu#$@$#FIELD	frontend.MyPanel	null	menu	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/registerPane.java
frontend.MyPanel$PopupTriggerListener#$@$#mouseReleased(java.awt.event.MouseEvent)#$@$#ev.getComponent#$@$#METHOD	java.awt.event.ComponentEvent	getComponent()	null	null	null
frontend.MyPanel$PopupTriggerListener#$@$#mouseReleased(java.awt.event.MouseEvent)#$@$#ev#$@$#PARAMETER	frontend.MyPanel$PopupTriggerListener	mouseReleased(java.awt.event.MouseEvent)	ev	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/registerPane.java
frontend.MyPanel$PopupTriggerListener#$@$#mouseReleased(java.awt.event.MouseEvent)#$@$#ev.getX#$@$#METHOD	java.awt.event.MouseEvent	getX()	null	null	null
frontend.MyPanel$PopupTriggerListener#$@$#mouseReleased(java.awt.event.MouseEvent)#$@$#ev#$@$#PARAMETER	frontend.MyPanel$PopupTriggerListener	mouseReleased(java.awt.event.MouseEvent)	ev	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/registerPane.java
frontend.MyPanel$PopupTriggerListener#$@$#mouseReleased(java.awt.event.MouseEvent)#$@$#ev.getY#$@$#METHOD	java.awt.event.MouseEvent	getY()	null	null	null
frontend.MyPanel$PopupTriggerListener#$@$#mouseReleased(java.awt.event.MouseEvent)#$@$#ev#$@$#PARAMETER	frontend.MyPanel$PopupTriggerListener	mouseReleased(java.awt.event.MouseEvent)	ev	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/registerPane.java
frontend.MyTextField#$@$#MyTextField(java.lang.String)#$@$#t#$@$#PARAMETER	frontend.MyTextField	MyTextField(java.lang.String)	t	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/registerPane.java
frontend.MyTextField#$@$#MyTextField(java.lang.String)#$@$#h#$@$#FIELD	frontend.MyTextField	null	h	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/registerPane.java
frontend.MyTextField#$@$#MyTextField(java.lang.String)#$@$#addMouseListener#$@$#METHOD	java.awt.Component	addMouseListener(java.awt.event.MouseListener)	null	null	null
frontend.MyTextField#$@$#MyTextField(java.lang.String)#$@$#frontend.MyTextField.menu#$@$#FIELD	frontend.MyTextField	null	menu	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/registerPane.java
frontend.MyTextField#$@$#MyTextField(java.lang.String)#$@$#lang1.addActionListener#$@$#METHOD	javax.swing.AbstractButton	addActionListener(java.awt.event.ActionListener)	null	null	null
frontend.MyTextField$1#$@$#actionPerformed(java.awt.event.ActionEvent)#$@$#frontend.handlers.regMode#$@$#FIELD	frontend.handlers	null	regMode	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/handlers.java
frontend.MyTextField$1#$@$#actionPerformed(java.awt.event.ActionEvent)#$@$#h.update#$@$#METHOD	frontend.handlers	update(int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/handlers.java
frontend.MyTextField$1#$@$#actionPerformed(java.awt.event.ActionEvent)#$@$#h#$@$#FIELD	frontend.MyTextField	null	h	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/registerPane.java
frontend.MyTextField#$@$#MyTextField(java.lang.String)#$@$#menu.add#$@$#METHOD	javax.swing.JPopupMenu	add(javax.swing.JMenuItem)	null	null	null
frontend.MyTextField#$@$#MyTextField(java.lang.String)#$@$#frontend.MyTextField.menu#$@$#FIELD	frontend.MyTextField	null	menu	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/registerPane.java
frontend.MyTextField#$@$#MyTextField(java.lang.String)#$@$#lang2.addActionListener#$@$#METHOD	javax.swing.AbstractButton	addActionListener(java.awt.event.ActionListener)	null	null	null
frontend.MyTextField$2#$@$#actionPerformed(java.awt.event.ActionEvent)#$@$#frontend.handlers.regMode#$@$#FIELD	frontend.handlers	null	regMode	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/handlers.java
frontend.MyTextField$2#$@$#actionPerformed(java.awt.event.ActionEvent)#$@$#h.update#$@$#METHOD	frontend.handlers	update(int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/handlers.java
frontend.MyTextField$2#$@$#actionPerformed(java.awt.event.ActionEvent)#$@$#h#$@$#FIELD	frontend.MyTextField	null	h	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/registerPane.java
frontend.MyTextField#$@$#MyTextField(java.lang.String)#$@$#menu.add#$@$#METHOD	javax.swing.JPopupMenu	add(javax.swing.JMenuItem)	null	null	null
frontend.MyTextField#$@$#MyTextField(java.lang.String)#$@$#frontend.MyTextField.menu#$@$#FIELD	frontend.MyTextField	null	menu	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/registerPane.java
frontend.MyTextField#$@$#MyTextField(java.lang.String)#$@$#lang3.addActionListener#$@$#METHOD	javax.swing.AbstractButton	addActionListener(java.awt.event.ActionListener)	null	null	null
frontend.MyTextField$3#$@$#actionPerformed(java.awt.event.ActionEvent)#$@$#frontend.handlers.regMode#$@$#FIELD	frontend.handlers	null	regMode	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/handlers.java
frontend.MyTextField$3#$@$#actionPerformed(java.awt.event.ActionEvent)#$@$#h.update#$@$#METHOD	frontend.handlers	update(int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/handlers.java
frontend.MyTextField$3#$@$#actionPerformed(java.awt.event.ActionEvent)#$@$#h#$@$#FIELD	frontend.MyTextField	null	h	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/registerPane.java
frontend.MyTextField#$@$#MyTextField(java.lang.String)#$@$#menu.add#$@$#METHOD	javax.swing.JPopupMenu	add(javax.swing.JMenuItem)	null	null	null
frontend.MyTextField#$@$#MyTextField(java.lang.String)#$@$#frontend.MyTextField.menu#$@$#FIELD	frontend.MyTextField	null	menu	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/registerPane.java
frontend.MyTextField#$@$#MyTextField(java.lang.String)#$@$#lang4.addActionListener#$@$#METHOD	javax.swing.AbstractButton	addActionListener(java.awt.event.ActionListener)	null	null	null
frontend.MyTextField$4#$@$#actionPerformed(java.awt.event.ActionEvent)#$@$#frontend.handlers.regMode#$@$#FIELD	frontend.handlers	null	regMode	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/handlers.java
frontend.MyTextField$4#$@$#actionPerformed(java.awt.event.ActionEvent)#$@$#h.update#$@$#METHOD	frontend.handlers	update(int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/handlers.java
frontend.MyTextField$4#$@$#actionPerformed(java.awt.event.ActionEvent)#$@$#h#$@$#FIELD	frontend.MyTextField	null	h	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/registerPane.java
frontend.MyTextField#$@$#MyTextField(java.lang.String)#$@$#menu.add#$@$#METHOD	javax.swing.JPopupMenu	add(javax.swing.JMenuItem)	null	null	null
frontend.MyTextField#$@$#MyTextField(java.lang.String)#$@$#frontend.MyTextField.menu#$@$#FIELD	frontend.MyTextField	null	menu	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/registerPane.java
frontend.MyTextField$PopupTriggerListener#$@$#mousePressed(java.awt.event.MouseEvent)#$@$#ev.isPopupTrigger#$@$#METHOD	java.awt.event.MouseEvent	isPopupTrigger()	null	null	null
frontend.MyTextField$PopupTriggerListener#$@$#mousePressed(java.awt.event.MouseEvent)#$@$#ev#$@$#PARAMETER	frontend.MyTextField$PopupTriggerListener	mousePressed(java.awt.event.MouseEvent)	ev	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/registerPane.java
frontend.MyTextField$PopupTriggerListener#$@$#mousePressed(java.awt.event.MouseEvent)#$@$#menu.show#$@$#METHOD	javax.swing.JPopupMenu	show(java.awt.Component,int,int)	null	null	null
frontend.MyTextField$PopupTriggerListener#$@$#mousePressed(java.awt.event.MouseEvent)#$@$#frontend.MyTextField.menu#$@$#FIELD	frontend.MyTextField	null	menu	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/registerPane.java
frontend.MyTextField$PopupTriggerListener#$@$#mousePressed(java.awt.event.MouseEvent)#$@$#ev.getComponent#$@$#METHOD	java.awt.event.ComponentEvent	getComponent()	null	null	null
frontend.MyTextField$PopupTriggerListener#$@$#mousePressed(java.awt.event.MouseEvent)#$@$#ev#$@$#PARAMETER	frontend.MyTextField$PopupTriggerListener	mousePressed(java.awt.event.MouseEvent)	ev	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/registerPane.java
frontend.MyTextField$PopupTriggerListener#$@$#mousePressed(java.awt.event.MouseEvent)#$@$#ev.getX#$@$#METHOD	java.awt.event.MouseEvent	getX()	null	null	null
frontend.MyTextField$PopupTriggerListener#$@$#mousePressed(java.awt.event.MouseEvent)#$@$#ev#$@$#PARAMETER	frontend.MyTextField$PopupTriggerListener	mousePressed(java.awt.event.MouseEvent)	ev	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/registerPane.java
frontend.MyTextField$PopupTriggerListener#$@$#mousePressed(java.awt.event.MouseEvent)#$@$#ev.getY#$@$#METHOD	java.awt.event.MouseEvent	getY()	null	null	null
frontend.MyTextField$PopupTriggerListener#$@$#mousePressed(java.awt.event.MouseEvent)#$@$#ev#$@$#PARAMETER	frontend.MyTextField$PopupTriggerListener	mousePressed(java.awt.event.MouseEvent)	ev	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/registerPane.java
frontend.MyTextField$PopupTriggerListener#$@$#mouseReleased(java.awt.event.MouseEvent)#$@$#ev.isPopupTrigger#$@$#METHOD	java.awt.event.MouseEvent	isPopupTrigger()	null	null	null
frontend.MyTextField$PopupTriggerListener#$@$#mouseReleased(java.awt.event.MouseEvent)#$@$#ev#$@$#PARAMETER	frontend.MyTextField$PopupTriggerListener	mouseReleased(java.awt.event.MouseEvent)	ev	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/registerPane.java
frontend.MyTextField$PopupTriggerListener#$@$#mouseReleased(java.awt.event.MouseEvent)#$@$#menu.show#$@$#METHOD	javax.swing.JPopupMenu	show(java.awt.Component,int,int)	null	null	null
frontend.MyTextField$PopupTriggerListener#$@$#mouseReleased(java.awt.event.MouseEvent)#$@$#frontend.MyTextField.menu#$@$#FIELD	frontend.MyTextField	null	menu	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/registerPane.java
frontend.MyTextField$PopupTriggerListener#$@$#mouseReleased(java.awt.event.MouseEvent)#$@$#ev.getComponent#$@$#METHOD	java.awt.event.ComponentEvent	getComponent()	null	null	null
frontend.MyTextField$PopupTriggerListener#$@$#mouseReleased(java.awt.event.MouseEvent)#$@$#ev#$@$#PARAMETER	frontend.MyTextField$PopupTriggerListener	mouseReleased(java.awt.event.MouseEvent)	ev	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/registerPane.java
frontend.MyTextField$PopupTriggerListener#$@$#mouseReleased(java.awt.event.MouseEvent)#$@$#ev.getX#$@$#METHOD	java.awt.event.MouseEvent	getX()	null	null	null
frontend.MyTextField$PopupTriggerListener#$@$#mouseReleased(java.awt.event.MouseEvent)#$@$#ev#$@$#PARAMETER	frontend.MyTextField$PopupTriggerListener	mouseReleased(java.awt.event.MouseEvent)	ev	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/registerPane.java
frontend.MyTextField$PopupTriggerListener#$@$#mouseReleased(java.awt.event.MouseEvent)#$@$#ev.getY#$@$#METHOD	java.awt.event.MouseEvent	getY()	null	null	null
frontend.MyTextField$PopupTriggerListener#$@$#mouseReleased(java.awt.event.MouseEvent)#$@$#ev#$@$#PARAMETER	frontend.MyTextField$PopupTriggerListener	mouseReleased(java.awt.event.MouseEvent)	ev	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/registerPane.java
frontend.ButtonTabComponent#$@$#ButtonTabComponent(javax.swing.JTabbedPane)#$@$#java.awt.FlowLayout.LEFT#$@$#FIELD	java.awt.FlowLayout	null	LEFT	null	null
