enc_class	enc_method	exp	kind	class	method	param	index	uri
hugo.project.hospital.NeedleDevice#$@$#NeedleDevice(int)#$@$#initialAmount#$@$#PARAMETER	hugo.project.hospital.NeedleDevice	NeedleDevice(int)	initialAmount	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/NeedleDevice.java
hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement#$@$#DoubleLinkedListElement(E,hugo.util.structure.DoubleLinkedList.DoubleLinkedListElement,hugo.util.structure.DoubleLinkedList.DoubleLinkedListElement)#$@$#this.nextElement#$@$#FIELD	hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement	null	nextElement	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/DoubleLinkedList.java
hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement#$@$#DoubleLinkedListElement(E,hugo.util.structure.DoubleLinkedList.DoubleLinkedListElement,hugo.util.structure.DoubleLinkedList.DoubleLinkedListElement)#$@$#this#$@$#FIELD	hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/DoubleLinkedList.java
hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement#$@$#DoubleLinkedListElement(E,hugo.util.structure.DoubleLinkedList.DoubleLinkedListElement,hugo.util.structure.DoubleLinkedList.DoubleLinkedListElement)#$@$#next#$@$#PARAMETER	hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement	DoubleLinkedListElement(E,hugo.util.structure.DoubleLinkedList.DoubleLinkedListElement,hugo.util.structure.DoubleLinkedList.DoubleLinkedListElement)	next	2	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/DoubleLinkedList.java
hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement#$@$#DoubleLinkedListElement(E,hugo.util.structure.DoubleLinkedList.DoubleLinkedListElement,hugo.util.structure.DoubleLinkedList.DoubleLinkedListElement)#$@$#nextElement#$@$#FIELD	hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement	null	nextElement	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/DoubleLinkedList.java
hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement#$@$#DoubleLinkedListElement(E,hugo.util.structure.DoubleLinkedList.DoubleLinkedListElement,hugo.util.structure.DoubleLinkedList.DoubleLinkedListElement)#$@$#nextElement.preElement#$@$#FIELD	hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement	null	preElement	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/DoubleLinkedList.java
hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement#$@$#DoubleLinkedListElement(E,hugo.util.structure.DoubleLinkedList.DoubleLinkedListElement,hugo.util.structure.DoubleLinkedList.DoubleLinkedListElement)#$@$#nextElement#$@$#FIELD	hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement	null	nextElement	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/DoubleLinkedList.java
hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement#$@$#DoubleLinkedListElement(E,hugo.util.structure.DoubleLinkedList.DoubleLinkedListElement,hugo.util.structure.DoubleLinkedList.DoubleLinkedListElement)#$@$#this#$@$#FIELD	hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/DoubleLinkedList.java
hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement#$@$#DoubleLinkedListElement(E,hugo.util.structure.DoubleLinkedList.DoubleLinkedListElement,hugo.util.structure.DoubleLinkedList.DoubleLinkedListElement)#$@$#preElement#$@$#FIELD	hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement	null	preElement	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/DoubleLinkedList.java
hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement#$@$#DoubleLinkedListElement(E,hugo.util.structure.DoubleLinkedList.DoubleLinkedListElement,hugo.util.structure.DoubleLinkedList.DoubleLinkedListElement)#$@$#preElement.nextElement#$@$#FIELD	hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement	null	nextElement	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/DoubleLinkedList.java
hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement#$@$#DoubleLinkedListElement(E,hugo.util.structure.DoubleLinkedList.DoubleLinkedListElement,hugo.util.structure.DoubleLinkedList.DoubleLinkedListElement)#$@$#preElement#$@$#FIELD	hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement	null	preElement	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/DoubleLinkedList.java
hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement#$@$#DoubleLinkedListElement(E,hugo.util.structure.DoubleLinkedList.DoubleLinkedListElement,hugo.util.structure.DoubleLinkedList.DoubleLinkedListElement)#$@$#this#$@$#FIELD	hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/DoubleLinkedList.java
hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement#$@$#DoubleLinkedListElement(E)#$@$#value#$@$#METHOD	java.lang.SuppressWarnings	value()	null	null	null
hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement#$@$#DoubleLinkedListElement(E)#$@$#dataE#$@$#PARAMETER	hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement	DoubleLinkedListElement(E)	dataE	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/DoubleLinkedList.java
hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement#$@$#value()#$@$#value#$@$#METHOD	java.lang.SuppressWarnings	value()	null	null	null
hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement#$@$#value()#$@$#data#$@$#FIELD	hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement	null	data	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/DoubleLinkedList.java
hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement#$@$#previous()#$@$#value#$@$#METHOD	java.lang.SuppressWarnings	value()	null	null	null
hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement#$@$#previous()#$@$#preElement#$@$#FIELD	hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement	null	preElement	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/DoubleLinkedList.java
hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement#$@$#next()#$@$#value#$@$#METHOD	java.lang.SuppressWarnings	value()	null	null	null
hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement#$@$#next()#$@$#nextElement#$@$#FIELD	hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement	null	nextElement	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/DoubleLinkedList.java
hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement#$@$#setNext(hugo.util.structure.DoubleLinkedList.DoubleLinkedListElement)#$@$#nextElement#$@$#FIELD	hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement	null	nextElement	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/DoubleLinkedList.java
hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement#$@$#setNext(hugo.util.structure.DoubleLinkedList.DoubleLinkedListElement)#$@$#next#$@$#PARAMETER	hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement	setNext(hugo.util.structure.DoubleLinkedList.DoubleLinkedListElement)	next	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/DoubleLinkedList.java
hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement#$@$#setNext(hugo.util.structure.DoubleLinkedList.DoubleLinkedListElement)#$@$#next#$@$#PARAMETER	hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement	setNext(hugo.util.structure.DoubleLinkedList.DoubleLinkedListElement)	next	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/DoubleLinkedList.java
hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement#$@$#setNext(hugo.util.structure.DoubleLinkedList.DoubleLinkedListElement)#$@$#next.preElement#$@$#FIELD	hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement	null	preElement	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/DoubleLinkedList.java
hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement#$@$#setNext(hugo.util.structure.DoubleLinkedList.DoubleLinkedListElement)#$@$#next#$@$#PARAMETER	hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement	setNext(hugo.util.structure.DoubleLinkedList.DoubleLinkedListElement)	next	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/DoubleLinkedList.java
hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement#$@$#setNext(hugo.util.structure.DoubleLinkedList.DoubleLinkedListElement)#$@$#this#$@$#FIELD	hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/DoubleLinkedList.java
hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement#$@$#setPrevious(hugo.util.structure.DoubleLinkedList.DoubleLinkedListElement)#$@$#preElement#$@$#FIELD	hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement	null	preElement	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/DoubleLinkedList.java
hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement#$@$#setPrevious(hugo.util.structure.DoubleLinkedList.DoubleLinkedListElement)#$@$#previous#$@$#PARAMETER	hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement	setPrevious(hugo.util.structure.DoubleLinkedList.DoubleLinkedListElement)	previous	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/DoubleLinkedList.java
hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement#$@$#setPrevious(hugo.util.structure.DoubleLinkedList.DoubleLinkedListElement)#$@$#previous#$@$#PARAMETER	hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement	setPrevious(hugo.util.structure.DoubleLinkedList.DoubleLinkedListElement)	previous	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/DoubleLinkedList.java
hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement#$@$#setPrevious(hugo.util.structure.DoubleLinkedList.DoubleLinkedListElement)#$@$#previous.nextElement#$@$#FIELD	hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement	null	nextElement	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/DoubleLinkedList.java
hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement#$@$#setPrevious(hugo.util.structure.DoubleLinkedList.DoubleLinkedListElement)#$@$#previous#$@$#PARAMETER	hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement	setPrevious(hugo.util.structure.DoubleLinkedList.DoubleLinkedListElement)	previous	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/DoubleLinkedList.java
hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement#$@$#setPrevious(hugo.util.structure.DoubleLinkedList.DoubleLinkedListElement)#$@$#this#$@$#FIELD	hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/DoubleLinkedList.java
hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement#$@$#remove()#$@$#preElement#$@$#FIELD	hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement	null	preElement	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/DoubleLinkedList.java
hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement#$@$#remove()#$@$#preElement.setNext#$@$#METHOD	hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement	setNext(hugo.util.structure.DoubleLinkedList.DoubleLinkedListElement)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/DoubleLinkedList.java
hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement#$@$#remove()#$@$#preElement#$@$#FIELD	hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement	null	preElement	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/DoubleLinkedList.java
hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement#$@$#remove()#$@$#nextElement#$@$#FIELD	hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement	null	nextElement	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/DoubleLinkedList.java
hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement#$@$#remove()#$@$#nextElement#$@$#FIELD	hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement	null	nextElement	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/DoubleLinkedList.java
hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement#$@$#remove()#$@$#nextElement.setPrevious#$@$#METHOD	hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement	setPrevious(hugo.util.structure.DoubleLinkedList.DoubleLinkedListElement)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/DoubleLinkedList.java
hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement#$@$#remove()#$@$#nextElement#$@$#FIELD	hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement	null	nextElement	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/DoubleLinkedList.java
hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement#$@$#remove()#$@$#preElement#$@$#FIELD	hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement	null	preElement	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/DoubleLinkedList.java
hugo.util.structure.DoubleLinkedList#$@$#DoubleLinkedList()#$@$#this.head#$@$#FIELD	hugo.util.structure.DoubleLinkedList	null	head	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/DoubleLinkedList.java
hugo.util.structure.DoubleLinkedList#$@$#DoubleLinkedList()#$@$#this#$@$#FIELD	hugo.util.structure.DoubleLinkedList	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/DoubleLinkedList.java
hugo.util.structure.DoubleLinkedList#$@$#DoubleLinkedList()#$@$#this.tail#$@$#FIELD	hugo.util.structure.DoubleLinkedList	null	tail	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/DoubleLinkedList.java
hugo.util.structure.DoubleLinkedList#$@$#DoubleLinkedList()#$@$#this#$@$#FIELD	hugo.util.structure.DoubleLinkedList	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/DoubleLinkedList.java
hugo.util.structure.DoubleLinkedList#$@$#DoubleLinkedList()#$@$#this.size#$@$#FIELD	hugo.util.structure.DoubleLinkedList	null	size	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/DoubleLinkedList.java
hugo.util.structure.DoubleLinkedList#$@$#DoubleLinkedList()#$@$#this#$@$#FIELD	hugo.util.structure.DoubleLinkedList	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/DoubleLinkedList.java
hugo.util.structure.DoubleLinkedList#$@$#addFirst(E)#$@$#dataE#$@$#PARAMETER	hugo.util.structure.DoubleLinkedList	addFirst(E)	dataE	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/DoubleLinkedList.java
hugo.util.structure.DoubleLinkedList#$@$#addFirst(E)#$@$#head#$@$#FIELD	hugo.util.structure.DoubleLinkedList	null	head	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/DoubleLinkedList.java
hugo.util.structure.DoubleLinkedList#$@$#addFirst(E)#$@$#head#$@$#FIELD	hugo.util.structure.DoubleLinkedList	null	head	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/DoubleLinkedList.java
hugo.util.structure.DoubleLinkedList#$@$#addFirst(E)#$@$#isEmpty#$@$#METHOD	hugo.util.structure.DoubleLinkedList	isEmpty()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/DoubleLinkedList.java
hugo.util.structure.DoubleLinkedList#$@$#addFirst(E)#$@$#tail#$@$#FIELD	hugo.util.structure.DoubleLinkedList	null	tail	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/DoubleLinkedList.java
hugo.util.structure.DoubleLinkedList#$@$#addFirst(E)#$@$#this.size#$@$#FIELD	hugo.util.structure.DoubleLinkedList	null	size	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/DoubleLinkedList.java
hugo.util.structure.DoubleLinkedList#$@$#addFirst(E)#$@$#this#$@$#FIELD	hugo.util.structure.DoubleLinkedList	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/DoubleLinkedList.java
hugo.util.structure.DoubleLinkedList#$@$#addLast(E)#$@$#dataE#$@$#PARAMETER	hugo.util.structure.DoubleLinkedList	addLast(E)	dataE	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/DoubleLinkedList.java
hugo.util.structure.DoubleLinkedList#$@$#addLast(E)#$@$#tail#$@$#FIELD	hugo.util.structure.DoubleLinkedList	null	tail	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/DoubleLinkedList.java
hugo.util.structure.DoubleLinkedList#$@$#addLast(E)#$@$#tail#$@$#FIELD	hugo.util.structure.DoubleLinkedList	null	tail	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/DoubleLinkedList.java
hugo.util.structure.DoubleLinkedList#$@$#addLast(E)#$@$#isEmpty#$@$#METHOD	hugo.util.structure.DoubleLinkedList	isEmpty()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/DoubleLinkedList.java
hugo.util.structure.DoubleLinkedList#$@$#addLast(E)#$@$#head#$@$#FIELD	hugo.util.structure.DoubleLinkedList	null	head	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/DoubleLinkedList.java
hugo.util.structure.DoubleLinkedList#$@$#addLast(E)#$@$#this.size#$@$#FIELD	hugo.util.structure.DoubleLinkedList	null	size	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/DoubleLinkedList.java
hugo.util.structure.DoubleLinkedList#$@$#addLast(E)#$@$#this#$@$#FIELD	hugo.util.structure.DoubleLinkedList	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/DoubleLinkedList.java
hugo.util.structure.DoubleLinkedList#$@$#removeFirst()#$@$#isEmpty#$@$#METHOD	hugo.util.structure.DoubleLinkedList	isEmpty()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/DoubleLinkedList.java
hugo.util.structure.DoubleLinkedList#$@$#removeFirst()#$@$#head#$@$#FIELD	hugo.util.structure.DoubleLinkedList	null	head	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/DoubleLinkedList.java
hugo.util.structure.DoubleLinkedList#$@$#removeFirst()#$@$#head.nextElement#$@$#FIELD	hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement	null	nextElement	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/DoubleLinkedList.java
hugo.util.structure.DoubleLinkedList#$@$#removeFirst()#$@$#head#$@$#FIELD	hugo.util.structure.DoubleLinkedList	null	head	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/DoubleLinkedList.java
hugo.util.structure.DoubleLinkedList#$@$#removeFirst()#$@$#head#$@$#FIELD	hugo.util.structure.DoubleLinkedList	null	head	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/DoubleLinkedList.java
hugo.util.structure.DoubleLinkedList#$@$#removeFirst()#$@$#head.preElement#$@$#FIELD	hugo.util.structure.DoubleLinkedList$DoubleLinkedListElement	null	preElement	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/DoubleLinkedList.java
